Pozo,Latitude,Longitude
LACAMANGO-355,17.9036466,-94.3487464
LACAMANGO-371,17.9037958,-94.3487362
LACAMANGO-390,17.9039388,-94.34286467
LACAMANGO-391,17.9039905,-94.3427537
LACAMANGO-392,17.9038878,-94.3429776
LACAMANGO-393,17.90961106,-94.3385395
LACAMANGO-4,17.912613,-94.333004
LACAMANGO-431,17.910958,-94.3290076
LACAMANGO-8,17.909273,-94.338415
LOS SOLDADOS-15,17.980849,-94.112632
LOS SOLDADOS-161,17.955719,-94.112528
LOS SOLDADOS-26,17.978149,-94.127358
LOS SOLDADOS-43,17.961195,-94.122313
LOS SOLDADOS-449,17.97882802,-94.10937813
LOS SOLDADOS-450,17.96493188,-94.12911234
LOS SOLDADOS-451,17.96451805,-94.12893927
